Nombre_Empleado,Apellido_Empleado,Nombre_Completo,ID_Empleado,Año,Proyecto,Calidad,Satisfacción,Productividad,Trabajo en equipo,Reclamaciones
GABRIEL,NGUYEN,GABRIEL NGUYEN,1038,2022,SmartNet,19.99,0.82,0.69,0.69,1 Reclamaciones
ISAAC,HILL,ISAAC HILL,1039,2022,Vatro,11.53,0.84,0.84,0.56,97 Reclamaciones
LINCOLN,FLORES,LINCOLN FLORES,1040,2022,Vatro,15.88,0.85,0.74,0.44,52 Reclamaciones
ANTHONY,GREEN,ANTHONY GREEN,1041,2022,CyberSafe,23.52,0.82,0.71,0.69,79 Reclamaciones
HUDSON,ADAMS,HUDSON ADAMS,1042,2022,CyberSafe,14.94,0.88,0.69,0.48,4 Reclamaciones
DYLAN,NELSON,DYLAN NELSON,1043,2022,CloudConnect,23.62,0.86,0.89,0.43,6 Reclamaciones
EZRA,BAKER,EZRA BAKER,1044,2022,InnovaTech,10.63,0.95,0.75,0.69,100 Reclamaciones
THOMAS,HALL,THOMAS HALL,1045,2022,AIBoost,20.34,0.79,0.73,0.7,84 Reclamaciones
CHARLES,RIVERA,CHARLES RIVERA,1046,2022,CyberSafe,23.61,0.8,0.76,0.49,57 Reclamaciones
CHRISTOPHER,CAMPBELL,CHRISTOPHER CAMPBELL,1047,2022,SmartNet,24.91,0.73,0.74,0.56,76 Reclamaciones
JAXON,MITCHELL,JAXON MITCHELL,1048,2022,CloudConnect,22.94,0.97,0.78,0.59,32 Reclamaciones
MAVERICK,CARTER,MAVERICK CARTER,1049,2022,AIBoost,11.69,0.88,0.77,0.56,31 Reclamaciones
JOSIAH,ROBERTS,JOSIAH ROBERTS,1050,2022,JustVDB,11.82,0.85,0.66,0.44,48 Reclamaciones
ISAIAH,GOMEZ,ISAIAH GOMEZ,1051,2022,CloudConnect,21.40,0.77,0.67,0.44,24 Reclamaciones
ANDREW,PHILLIPS,ANDREW PHILLIPS,1052,2022,SmartNet,25.30,0.92,0.82,0.54,60 Reclamaciones
ELIAS,EVANS,ELIAS EVANS,1053,2022,AIBoost,13.37,0.92,0.87,0.6,78 Reclamaciones
JOSHUA,TURNER,JOSHUA TURNER,1054,2022,CyberSafe,13.98,1,0.66,0.51,70 Reclamaciones
NATHAN,DIAZ,NATHAN DIAZ,1055,2022,SmartNet,20.29,0.85,0.85,0.58,99 Reclamaciones
CALEB,PARKER,CALEB PARKER,1056,2022,SmartNet,13.13,0.9,0.75,0.54,6 Reclamaciones
RYAN,CRUZ,RYAN CRUZ,1057,2022,JustVDB,21.04,0.76,0.67,0.62,80 Reclamaciones
ADRIAN,EDWARDS,ADRIAN EDWARDS,1058,2022,JustVDB,23.17,0.78,0.78,0.68,68 Reclamaciones
MILES,COLLINS,MILES COLLINS,1059,2022,AIBoost,19.90,0.77,0.73,0.69,3 Reclamaciones
ELI,REYES,ELI REYES,1060,2022,JustVDB,23.70,0.94,0.73,0.67,81 Reclamaciones
NOLAN,STEWART,NOLAN STEWART,1061,2022,InnovaTech,24.04,0.8,0.69,0.59,53 Reclamaciones
CHRISTIAN,MORRIS,CHRISTIAN MORRIS,1062,2022,SmartNet,11.53,0.75,0.77,0.46,40 Reclamaciones
AARON,MORALES,AARON MORALES,1063,2022,AIBoost,10.93,0.74,0.8,0.5,87 Reclamaciones
CAMERON,MURPHY,CAMERON MURPHY,1064,2022,CloudConnect,22.73,0.9,0.77,0.66,53 Reclamaciones
EZEKIEL,COOK,EZEKIEL COOK,1065,2022,CyberSafe,20.86,0.85,0.69,0.66,36 Reclamaciones
COLTON,ROGERS,COLTON ROGERS,1066,2022,CloudConnect,21.65,0.88,0.77,0.67,71 Reclamaciones
LUCA,GUTIERREZ,LUCA GUTIERREZ,1067,2022,CyberSafe,28.63,1,0.74,0.44,10 Reclamaciones
LANDON,ORTIZ,LANDON ORTIZ,1068,2022,CyberSafe,13.49,0.87,0.69,0.67,62 Reclamaciones
HUNTER,MORGAN,HUNTER MORGAN,1069,2022,Vatro,13.76,0.81,0.8,0.52,36 Reclamaciones
JONATHAN,COOPER,JONATHAN COOPER,1070,2022,CyberSafe,21.01,0.73,0.89,0.44,46 Reclamaciones
SANTIAGO,PETERSON,SANTIAGO PETERSON,1071,2022,Vatro,13.33,0.8,0.77,0.66,15 Reclamaciones
AXEL,BAILEY,AXEL BAILEY,1072,2022,SmartNet,10.53,0.93,0.77,0.65,62 Reclamaciones
EASTON,REED,EASTON REED,1073,2022,InnovaTech,26.72,0.77,0.66,0.51,56 Reclamaciones
COOPER,KELLY,COOPER KELLY,1074,2022,CloudConnect,22.72,0.79,0.87,0.59,19 Reclamaciones
JEREMIAH,HOWARD,JEREMIAH HOWARD,1075,2022,JustVDB,23.98,0.75,0.88,0.63,7 Reclamaciones
ANGEL,RAMOS,ANGEL RAMOS,1076,2022,CloudConnect,16.14,0.76,0.72,0.49,36 Reclamaciones
ROMAN,KIM,ROMAN KIM,1077,2022,Vatro,26.95,0.95,0.87,0.56,72 Reclamaciones
CONNOR,COX,CONNOR COX,1078,2022,CyberSafe,26.97,0.98,0.68,0.63,39 Reclamaciones
JAMESON,WARD,JAMESON WARD,1079,2022,CloudConnect,23.86,0.92,0.75,0.48,83 Reclamaciones
ROBERT,RICHARDSON,ROBERT RICHARDSON,1080,2022,AIBoost,22.20,0.75,0.74,0.59,52 Reclamaciones
GREYSON,WATSON,GREYSON WATSON,1081,2022,CyberSafe,10.22,0.97,0.68,0.65,41 Reclamaciones
JORDAN,BROOKS,JORDAN BROOKS,1082,2022,AIBoost,13.59,0.88,0.9,0.63,80 Reclamaciones
IAN,CHAVEZ,IAN CHAVEZ,1083,2022,AIBoost,27.81,0.83,0.76,0.7,39 Reclamaciones
CARSON,WOOD,CARSON WOOD,1084,2022,SmartNet,22.47,1,0.65,0.6,43 Reclamaciones
JAXSON,JAMES,JAXSON JAMES,1085,2022,AIBoost,20.70,0.84,0.9,0.66,17 Reclamaciones
LEONARDO,BENNET,LEONARDO BENNET,1086,2022,SmartNet,9.53,0.74,0.84,0.65,43 Reclamaciones
NICHOLAS,GRAY,NICHOLAS GRAY,1087,2022,InnovaTech,19.96,0.79,0.73,0.47,80 Reclamaciones
DOMINIC,MENDOZA,DOMINIC MENDOZA,1088,2022,CyberSafe,22.39,0.95,0.75,0.6,67 Reclamaciones
AUSTIN,RUIZ,AUSTIN RUIZ,1089,2022,CyberSafe,26.68,0.73,0.77,0.44,52 Reclamaciones
EVERETT,HUGHES,EVERETT HUGHES,1090,2022,Vatro,27.01,0.91,0.77,0.43,15 Reclamaciones
BROOKS,PRICE,BROOKS PRICE,1091,2022,Vatro,9.45,0.75,0.82,0.55,32 Reclamaciones
XAVIER,ALVAREZ,XAVIER ALVAREZ,1092,2022,JustVDB,14.64,0.75,0.78,0.53,78 Reclamaciones
KAI,CASTILLO,KAI CASTILLO,1093,2022,SmartNet,14.84,0.76,0.87,0.62,98 Reclamaciones
JOSE,SANDERS,JOSE SANDERS,1094,2022,Vatro,26.51,0.73,0.8,0.61,31 Reclamaciones
PARKER,PATEL,PARKER PATEL,1095,2022,CyberSafe,23.33,0.99,0.7,0.67,95 Reclamaciones
ADAM,MYERS,ADAM MYERS,1096,2022,AIBoost,15.06,0.97,0.66,0.5,72 Reclamaciones
JACE,LONG,JACE LONG,1097,2022,CyberSafe,26.25,0.76,0.76,0.56,11 Reclamaciones
WESLEY,ROSS,WESLEY ROSS,1098,2022,AIBoost,13.53,0.98,0.75,0.56,40 Reclamaciones
KAYDEN,FOSTER,KAYDEN FOSTER,1099,2022,Vatro,24.17,0.82,0.65,0.55,16 Reclamaciones
SILAS,JIMENEZ,SILAS JIMENEZ,1100,2022,CyberSafe,13.36,0.8,0.73,0.5,99 Reclamaciones
BENNETT,SMITH,BENNETT SMITH,1101,2022,JustVDB,9.11,1,0.9,0.7,78 Reclamaciones
DECLAN,JOHNSON,DECLAN JOHNSON,1102,2022,CloudConnect,13.26,0.96,0.87,0.65,14 Reclamaciones
WAYLON,WILLIAMS,WAYLON WILLIAMS,1103,2022,AIBoost,13.43,0.94,0.8,0.44,98 Reclamaciones
WESTON,BROWN,WESTON BROWN,1104,2022,InnovaTech,22.87,0.73,0.9,0.69,91 Reclamaciones
EVAN,JONES,EVAN JONES,1105,2022,SmartNet,22.66,0.93,0.71,0.5,32 Reclamaciones
EMMETT,GARCIA,EMMETT GARCIA,1106,2022,JustVDB,13.55,0.8,0.86,0.52,100 Reclamaciones
MICAH,MILLER,MICAH MILLER,1107,2022,CloudConnect,22.37,0.74,0.85,0.51,20 Reclamaciones
RYDER,DAVIS,RYDER DAVIS,1108,2022,JustVDB,9.65,0.94,0.88,0.52,44 Reclamaciones
BEAU,RODRIGUEZ,BEAU RODRIGUEZ,1109,2022,Vatro,20.36,0.74,0.85,0.65,52 Reclamaciones
DAMIAN,MARTINEZ,DAMIAN MARTINEZ,1110,2022,CyberSafe,21.18,0.92,0.81,0.45,57 Reclamaciones
BRAYDEN,HERNANDEZ,BRAYDEN HERNANDEZ,1111,2022,CyberSafe,21.22,0.75,0.88,0.55,44 Reclamaciones
GAEL,LOPEZ,GAEL LOPEZ,1112,2022,SmartNet,9.54,0.87,0.9,0.52,29 Reclamaciones
ROWAN,GONZALES,ROWAN GONZALES,1113,2022,JustVDB,13.29,0.82,0.88,0.54,0 Reclamaciones
HARRISON,WILSON,HARRISON WILSON,1114,2022,CloudConnect,14.01,0.79,0.7,0.45,41 Reclamaciones
BRYSON,ANDERSON,BRYSON ANDERSON,1115,2022,Vatro,9.63,0.78,0.84,0.55,82 Reclamaciones
SAWYER,THOMAS,SAWYER THOMAS,1116,2022,JustVDB,12.69,0.83,0.68,0.5,22 Reclamaciones
AMIR,TAYLOR,AMIR TAYLOR,1117,2022,InnovaTech,13.42,0.75,0.77,0.68,84 Reclamaciones
KINGSTON,MOORE,KINGSTON MOORE,1118,2022,JustVDB,8.35,0.73,0.9,0.69,85 Reclamaciones
JASON,JACKSON,JASON JACKSON,1119,2022,SmartNet,14.73,0.84,0.9,0.5,38 Reclamaciones
GIOVANNI,MARTIN,GIOVANNI MARTIN,1120,2022,AIBoost,22.58,0.81,0.85,0.55,45 Reclamaciones
VINCENT,LEE,VINCENT LEE,1121,2022,Vatro,26.85,0.79,0.79,0.55,44 Reclamaciones
AYDEN,PEREZ,AYDEN PEREZ,1122,2022,AIBoost,22.37,0.89,0.68,0.67,85 Reclamaciones
CHASE,THOMPSON,CHASE THOMPSON,1123,2022,JustVDB,11.89,0.94,0.72,0.63,93 Reclamaciones
MYLES,WHITE,MYLES WHITE,1124,2022,SmartNet,22.80,0.82,0.8,0.52,37 Reclamaciones
DIEGO,HARRIS,DIEGO HARRIS,1125,2022,CyberSafe,22.50,0.79,0.74,0.56,31 Reclamaciones
NATHANIEL,SANCHEZ,NATHANIEL SANCHEZ,1126,2022,AIBoost,11.31,0.8,0.89,0.55,97 Reclamaciones
LEGEND,CLARK,LEGEND CLARK,1127,2022,CyberSafe,15.21,0.91,0.9,0.58,81 Reclamaciones
JONAH,RAMIREZ,JONAH RAMIREZ,1128,2022,CloudConnect,21.47,0.77,0.84,0.58,20 Reclamaciones
RIVER,LEWIS,RIVER LEWIS,1129,2022,CloudConnect,19.54,0.74,0.89,0.63,17 Reclamaciones
TYLER,ROBINSON,TYLER ROBINSON,1130,2022,CyberSafe,23.13,0.92,0.76,0.52,40 Reclamaciones
COLE,WALKER,COLE WALKER,1131,2022,InnovaTech,22.81,0.84,0.88,0.7,41 Reclamaciones
BRAXTON,YOUNG,BRAXTON YOUNG,1132,2022,JustVDB,10.00,0.73,0.72,0.49,12 Reclamaciones
GEORGE,ALLEN,GEORGE ALLEN,1133,2022,AIBoost,21.50,0.81,0.8,0.45,50 Reclamaciones
MILO,KING,MILO KING,1134,2022,AIBoost,12.77,0.99,0.89,0.45,23 Reclamaciones
ZACHARY,WRIGHT,ZACHARY WRIGHT,1135,2022,AIBoost,23.58,0.8,0.73,0.5,37 Reclamaciones
ASHTON,SCOTT,ASHTON SCOTT,1136,2022,CloudConnect,11.70,0.82,0.84,0.47,33 Reclamaciones
LUIS,TORRES,LUIS TORRES,1137,2022,InnovaTech,22.76,0.86,0.68,0.45,39 Reclamaciones
JASPER,NGUYEN,JASPER NGUYEN,1138,2022,SmartNet,24.90,0.76,0.66,0.5,13 Reclamaciones
KAIDEN,HILL,KAIDEN HILL,1139,2022,Vatro,26.96,0.81,0.87,0.63,84 Reclamaciones
ADRIEL,FLORES,ADRIEL FLORES,1140,2022,CyberSafe,21.29,0.99,0.89,0.63,14 Reclamaciones
GAVIN,GREEN,GAVIN GREEN,1141,2022,CyberSafe,21.11,0.73,0.68,0.48,61 Reclamaciones
BENTLEY,ADAMS,BENTLEY ADAMS,1142,2022,CloudConnect,9.35,0.92,0.84,0.52,88 Reclamaciones
CALVIN,NELSON,CALVIN NELSON,1143,2022,Vatro,21.84,0.81,0.72,0.58,61 Reclamaciones
ZION,BAKER,ZION BAKER,1144,2022,InnovaTech,21.58,0.84,0.8,0.66,16 Reclamaciones
JUAN,HALL,JUAN HALL,1145,2022,CyberSafe,12.49,0.75,0.69,0.51,55 Reclamaciones
MAXWELL,RIVERA,MAXWELL RIVERA,1146,2022,SmartNet,14.35,0.95,0.75,0.56,82 Reclamaciones
MAX,CAMPBELL,MAX CAMPBELL,1147,2022,CloudConnect,12.88,0.74,0.89,0.44,19 Reclamaciones
RYKER,MITCHELL,RYKER MITCHELL,1148,2022,InnovaTech,20.85,0.9,0.76,0.6,85 Reclamaciones
CARLOS,CARTER,CARLOS CARTER,1149,2022,CloudConnect,13.15,0.76,0.8,0.63,57 Reclamaciones
EMMANUEL,ROBERTS,EMMANUEL ROBERTS,1150,2022,JustVDB,26.34,0.93,0.86,0.56,77 Reclamaciones
JAYCE,GOMEZ,JAYCE GOMEZ,1151,2022,InnovaTech,8.72,0.95,0.65,0.6,84 Reclamaciones
LORENZO,PHILLIPS,LORENZO PHILLIPS,1152,2022,InnovaTech,23.88,0.79,0.79,0.45,78 Reclamaciones
IVAN,EVANS,IVAN EVANS,1153,2022,SmartNet,23.05,0.85,0.83,0.57,51 Reclamaciones
JUDE,TURNER,JUDE TURNER,1154,2022,SmartNet,20.84,0.83,0.71,0.53,66 Reclamaciones
AUGUST,DIAZ,AUGUST DIAZ,1155,2022,AIBoost,21.13,0.94,0.76,0.55,47 Reclamaciones
KEVIN,PARKER,KEVIN PARKER,1156,2022,JustVDB,26.61,0.95,0.73,0.61,41 Reclamaciones
MALACHI,CRUZ,MALACHI CRUZ,1157,2022,SmartNet,26.15,0.9,0.66,0.49,93 Reclamaciones
ELLIOTT,EDWARDS,ELLIOTT EDWARDS,1158,2022,InnovaTech,21.69,0.98,0.89,0.63,64 Reclamaciones
RHETT,COLLINS,RHETT COLLINS,1159,2022,CyberSafe,27.85,0.85,0.9,0.69,60 Reclamaciones
ARCHER,REYES,ARCHER REYES,1160,2022,CyberSafe,28.41,0.95,0.89,0.66,5 Reclamaciones
KARTER,STEWART,KARTER STEWART,1161,2022,InnovaTech,20.39,0.74,0.68,0.53,33 Reclamaciones
ARTHUR,MORRIS,ARTHUR MORRIS,1162,2022,Vatro,9.79,0.86,0.84,0.56,20 Reclamaciones
LUKA,MORALES,LUKA MORALES,1163,2022,InnovaTech,11.71,0.88,0.78,0.5,50 Reclamaciones
ELLIOT,MURPHY,ELLIOT MURPHY,1164,2022,AIBoost,23.16,0.92,0.87,0.64,81 Reclamaciones
THIAGO,COOK,THIAGO COOK,1165,2022,CyberSafe,12.44,0.97,0.87,0.43,70 Reclamaciones
BRANDON,ROGERS,BRANDON ROGERS,1166,2022,SmartNet,27.17,0.73,0.74,0.54,68 Reclamaciones
CAMDEN,GUTIERREZ,CAMDEN GUTIERREZ,1167,2022,InnovaTech,23.62,0.8,0.75,0.62,85 Reclamaciones
JUSTIN,ORTIZ,JUSTIN ORTIZ,1168,2022,InnovaTech,21.65,0.99,0.85,0.46,25 Reclamaciones
JESUS,MORGAN,JESUS MORGAN,1169,2022,CloudConnect,20.92,0.88,0.79,0.56,44 Reclamaciones
MADDOX,COOPER,MADDOX COOPER,1170,2022,CloudConnect,22.38,0.81,0.68,0.57,100 Reclamaciones
KING,PETERSON,KING PETERSON,1171,2022,AIBoost,14.94,0.97,0.68,0.48,79 Reclamaciones
THEO,BAILEY,THEO BAILEY,1172,2022,CyberSafe,13.85,0.86,0.66,0.69,76 Reclamaciones
ENZO,REED,ENZO REED,1173,2022,AIBoost,27.71,0.93,0.82,0.5,19 Reclamaciones
MATTEO,KELLY,MATTEO KELLY,1174,2022,AIBoost,8.73,0.91,0.71,0.67,6 Reclamaciones
EMILIANO,HOWARD,EMILIANO HOWARD,1175,2022,Vatro,21.98,0.97,0.83,0.43,90 Reclamaciones
DEAN,RAMOS,DEAN RAMOS,1176,2022,InnovaTech,11.81,0.8,0.68,0.59,21 Reclamaciones
HAYDEN,KIM,HAYDEN KIM,1177,2022,SmartNet,21.07,0.94,0.68,0.62,29 Reclamaciones
FINN,COX,FINN COX,1178,2022,Vatro,14.25,0.92,0.87,0.63,29 Reclamaciones
BRODY,WARD,BRODY WARD,1179,2022,Vatro,24.97,1,0.76,0.7,23 Reclamaciones
ANTONIO,RICHARDSON,ANTONIO RICHARDSON,1180,2022,InnovaTech,25.57,0.81,0.85,0.68,86 Reclamaciones
ABEL,WATSON,ABEL WATSON,1181,2022,CyberSafe,26.94,0.86,0.73,0.56,22 Reclamaciones
ALEX,BROOKS,ALEX BROOKS,1182,2022,Vatro,22.59,0.96,0.68,0.55,45 Reclamaciones
TRISTAN,CHAVEZ,TRISTAN CHAVEZ,1183,2022,InnovaTech,23.23,0.88,0.84,0.69,54 Reclamaciones
GRAHAM,WOOD,GRAHAM WOOD,1184,2022,InnovaTech,21.00,0.79,0.81,0.51,75 Reclamaciones
ZAYDEN,JAMES,ZAYDEN JAMES,1185,2022,SmartNet,20.78,0.9,0.89,0.61,66 Reclamaciones
JUDAH,BENNET,JUDAH BENNET,1186,2022,JustVDB,14.02,0.87,0.81,0.64,24 Reclamaciones
XANDER,GRAY,XANDER GRAY,1187,2022,Vatro,21.19,0.88,0.77,0.47,39 Reclamaciones
MIGUEL,MENDOZA,MIGUEL MENDOZA,1188,2022,Vatro,25.63,0.81,0.74,0.62,53 Reclamaciones
ATLAS,RUIZ,ATLAS RUIZ,1189,2022,AIBoost,24.54,0.84,0.81,0.57,11 Reclamaciones
MESSIAH,HUGHES,MESSIAH HUGHES,1190,2022,Vatro,11.81,0.83,0.73,0.43,13 Reclamaciones
BARRETT,PRICE,BARRETT PRICE,1191,2022,Vatro,21.63,0.93,0.81,0.62,13 Reclamaciones
TUCKER,ALVAREZ,TUCKER ALVAREZ,1192,2022,Vatro,25.42,0.8,0.74,0.51,52 Reclamaciones
TIMOTHY,CASTILLO,TIMOTHY CASTILLO,1193,2022,InnovaTech,27.28,0.93,0.78,0.54,98 Reclamaciones
ALAN,SANDERS,ALAN SANDERS,1194,2022,JustVDB,11.32,0.94,0.9,0.6,74 Reclamaciones
EDWARD,PATEL,EDWARD PATEL,1195,2022,Vatro,11.25,0.95,0.84,0.43,53 Reclamaciones
LEON,MYERS,LEON MYERS,1196,2022,InnovaTech,10.25,0.99,0.79,0.67,5 Reclamaciones
DAWSON,LONG,DAWSON LONG,1197,2022,Vatro,14.53,0.99,0.81,0.53,9 Reclamaciones
ERIC,ROSS,ERIC ROSS,1198,2022,JustVDB,20.93,0.76,0.75,0.64,80 Reclamaciones
ACE,FOSTER,ACE FOSTER,1199,2022,SmartNet,13.40,0.78,0.82,0.62,78 Reclamaciones
VICTOR,JIMENEZ,VICTOR JIMENEZ,1200,2022,InnovaTech,21.19,0.81,0.86,0.61,43 Reclamaciones
ABRAHAM,SMITH,ABRAHAM SMITH,1201,2022,JustVDB,23.95,0.81,0.82,0.55,27 Reclamaciones
NICOLAS,JOHNSON,NICOLAS JOHNSON,1202,2022,JustVDB,24.42,0.76,0.77,0.64,95 Reclamaciones
JESSE,WILLIAMS,JESSE WILLIAMS,1203,2022,CyberSafe,22.02,0.94,0.7,0.59,49 Reclamaciones
CHARLIE,BROWN,CHARLIE BROWN,1204,2022,AIBoost,14.20,0.8,0.68,0.57,60 Reclamaciones
PATRICK,JONES,PATRICK JONES,1205,2022,AIBoost,13.17,0.97,0.73,0.43,79 Reclamaciones
WALKER,GARCIA,WALKER GARCIA,1206,2022,InnovaTech,10.34,0.97,0.88,0.64,78 Reclamaciones
JOEL,MILLER,JOEL MILLER,1207,2022,AIBoost,23.02,0.75,0.71,0.66,5 Reclamaciones
RICHARD,DAVIS,RICHARD DAVIS,1208,2022,AIBoost,22.37,0.82,0.89,0.65,99 Reclamaciones
BECKETT,RODRIGUEZ,BECKETT RODRIGUEZ,1209,2022,SmartNet,20.68,0.77,0.74,0.65,30 Reclamaciones
BLAKE,MARTINEZ,BLAKE MARTINEZ,1210,2022,InnovaTech,26.52,0.95,0.85,0.45,0 Reclamaciones
ALEJANDRO,HERNANDEZ,ALEJANDRO HERNANDEZ,1211,2022,JustVDB,20.29,0.98,0.69,0.67,72 Reclamaciones
AVERY,LOPEZ,AVERY LOPEZ,1212,2022,Vatro,20.50,0.99,0.85,0.65,78 Reclamaciones
GRANT,GONZALES,GRANT GONZALES,1213,2022,Vatro,26.29,0.79,0.74,0.51,98 Reclamaciones
PETER,WILSON,PETER WILSON,1214,2022,Vatro,27.90,0.87,0.85,0.49,1 Reclamaciones
OSCAR,ANDERSON,OSCAR ANDERSON,1215,2022,Vatro,9.04,0.85,0.88,0.56,50 Reclamaciones
MATIAS,THOMAS,MATIAS THOMAS,1216,2022,AIBoost,22.56,0.74,0.67,0.57,0 Reclamaciones
AMARI,TAYLOR,AMARI TAYLOR,1217,2022,CyberSafe,12.63,0.84,0.88,0.54,89 Reclamaciones
LUKAS,MOORE,LUKAS MOORE,1218,2022,Vatro,21.82,0.86,0.82,0.58,10 Reclamaciones
ANDRES,JACKSON,ANDRES JACKSON,1219,2022,SmartNet,15.07,0.95,0.84,0.52,96 Reclamaciones
ARLO,MARTIN,ARLO MARTIN,1220,2022,AIBoost,20.78,0.73,0.66,0.49,70 Reclamaciones
COLT,LEE,COLT LEE,1221,2022,CloudConnect,14.32,0.8,0.87,0.5,82 Reclamaciones
ADONIS,PEREZ,ADONIS PEREZ,1222,2022,Vatro,10.22,0.9,0.72,0.61,54 Reclamaciones
KYRIE,THOMPSON,KYRIE THOMPSON,1223,2022,AIBoost,8.90,0.99,0.7,0.67,35 Reclamaciones
STEVEN,WHITE,STEVEN WHITE,1224,2022,InnovaTech,13.80,0.97,0.74,0.63,72 Reclamaciones
FELIX,HARRIS,FELIX HARRIS,1225,2022,JustVDB,12.17,0.78,0.89,0.66,62 Reclamaciones
PRESTON,SANCHEZ,PRESTON SANCHEZ,1226,2022,SmartNet,23.05,0.78,0.65,0.49,54 Reclamaciones
MARCUS,CLARK,MARCUS CLARK,1227,2022,Vatro,11.82,0.8,0.65,0.58,36 Reclamaciones
