Nombre_Empleado,Apellido_Empleado,Nombre_Completo,Genero,Cargo,Nivel cargo,Edad ,Ubicacion,Modalidad, Salario , Estado Civil , Telefono , Contrato Indefinido 
ADRIAN,EDWARDS,ADRIAN EDWARDS,M,Arquitecto de Software,Senior,49,"Madrid, España",Hibrido,"$51,000",O,9486336,Si
MILES,COLLINS,MILES COLLINS,M,Arquitecto de Software,Senior,38,"Lyon, Francia",Teletrabajo,"$51,000",S,8688942,Si
ELI,REYES,ELI REYES,M,Arquitecto de Software,Senior,35,"Lyon, Francia",Teletrabajo,"$45,000",O,9124623,Si
NOLAN,STEWART,NOLAN STEWART,M,Arquitecto de Software,Senior,38,"Basilea, Suiza",Presencial,"$22,000",O,9752110,No
CHRISTIAN,MORRIS,CHRISTIAN MORRIS,M,Arquitecto de Software,Senior,55,"Ginebra, Suiza",Presencial,"$55,000",S,8888074,Si
AARON,MORALES,AARON MORALES,M,Arquitecto de Software,Senior,52,"Zurich, Suiza",Presencial,"$46,000",O,9689225,No
CAMERON,MURPHY,CAMERON MURPHY,M,Arquitecto de Software,Senior,52,"Madrid, España",Presencial,"$50,000",O,8956926,Si
EZEKIEL,COOK,EZEKIEL COOK,M,Arquitecto de Software,Senior,43,"Ginebra, Suiza",Presencial,"$53,000",S,8867108,No
COLTON,ROGERS,COLTON ROGERS,M,Arquitecto de Software,Senior,55,"Basilea, Suiza",Presencial,"$32,000",O,9666013,Si
LUCA,GUTIERREZ,LUCA GUTIERREZ,M,Arquitecto de Software,Senior,36,"Touluse, Francia",Hibrido,"$58,000",S,9173911,No
LANDON,ORTIZ,LANDON ORTIZ,M,Arquitecto de Software,Senior,52,"Zurich, Suiza",Teletrabajo,"$55,000",C,8746720,No
HUNTER,MORGAN,HUNTER MORGAN,M,Arquitecto de Software,Senior,44,"Madrid, España",Hibrido,"$25,000",O,8813436,No
JONATHAN,COOPER,JONATHAN COOPER,M,Arquitecto de Software,Senior,37,"Basilea, Suiza",Teletrabajo,"$43,000",C,9004377,No
SANTIAGO,PETERSON,SANTIAGO PETERSON,M,Arquitecto de Software,Senior,46,"Basilea, Suiza",Presencial,"$49,000",S,8700539,Si
AXEL,BAILEY,AXEL BAILEY,M,Arquitecto de Software,Senior,42,"Zurich, Suiza",Teletrabajo,"$40,000",O,8936258,No
EASTON,REED,EASTON REED,M,Arquitecto de Software,Senior,52,"Lyon, Francia",Hibrido,"$27,000",S,8967172,Si
COOPER,KELLY,COOPER KELLY,M,Arquitecto de Software,Senior,52,"Ginebra, Suiza",Hibrido,"$55,000",O,9079197,Si
JEREMIAH,HOWARD,JEREMIAH HOWARD,M,Arquitecto de Software,Senior,38,"Basilea, Suiza",Presencial,"$45,000",S,9343431,No
ANGEL,RAMOS,ANGEL RAMOS,M,Arquitecto de Software,Senior,37,"Madrid, España",Presencial,"$21,000",S,9491621,Si
ROMAN,KIM,ROMAN KIM,M,Arquitecto de Software,Senior,39,"Touluse, Francia",Teletrabajo,"$58,000",C,8798608,Si
CONNOR,COX,CONNOR COX,M,Arquitecto de Software,Senior,43,"Ginebra, Suiza",Hibrido,"$39,000",C,9419657,No
JAMESON,WARD,JAMESON WARD,M,Arquitecto de Software,Senior,46,"Basilea, Suiza",Teletrabajo,"$38,000",C,9131843,No
ROBERT,RICHARDSON,ROBERT RICHARDSON,M,Arquitecto de Software,Senior,48,"Basilea, Suiza",Hibrido,"$57,000",S,9019491,Si
GREYSON,WATSON,GREYSON WATSON,M,Arquitecto de Software,Senior,41,"Basilea, Suiza",Hibrido,"$41,000",S,9680006,Si
JORDAN,BROOKS,JORDAN BROOKS,M,Arquitecto de Software,Senior,51,"Lyon, Francia",Hibrido,"$44,000",S,8694813,No
IAN,CHAVEZ,IAN CHAVEZ,M,Arquitecto de Software,Senior,35,"Lyon, Francia",Hibrido,"$33,000",O,9348012,No
CARSON,WOOD,CARSON WOOD,M,Arquitecto de Software,Senior,38,"Zurich, Suiza",Hibrido,"$32,000",S,9871035,Si
JAXSON,JAMES,JAXSON JAMES,M,Arquitecto de Software,Senior,42,"Zurich, Suiza",Presencial,"$44,000",C,9760896,Si
LEONARDO,BENNET,LEONARDO BENNET,M,Arquitecto de Software,Senior,36,"Touluse, Francia",Teletrabajo,"$45,000",C,9732459,No
NICHOLAS,GRAY,NICHOLAS GRAY,M,Arquitecto de Software,Senior,50,"Lyon, Francia",Presencial,"$53,000",S,8756926,Si
DOMINIC,MENDOZA,DOMINIC MENDOZA,M,Arquitecto de Software,Senior,49,"Basilea, Suiza",Hibrido,"$56,000",S,9098729,Si
AUSTIN,RUIZ,AUSTIN RUIZ,M,Arquitecto de Software,Senior,41,"Lyon, Francia",Teletrabajo,"$25,000",C,9372667,Si
EVERETT,HUGHES,EVERETT HUGHES,M,Arquitecto de Software,Senior,35,"Madrid, España",Teletrabajo,"$45,000",S,9413464,Si
BROOKS,PRICE,BROOKS PRICE,M,Arquitecto de Software,Senior,53,"Ginebra, Suiza",Teletrabajo,"$29,000",O,8931786,Si
XAVIER,ALVAREZ,XAVIER ALVAREZ,M,Arquitecto de Software,Senior,40,"Touluse, Francia",Teletrabajo,"$57,000",C,8845671,Si
KAI,CASTILLO,KAI CASTILLO,M,Arquitecto de Software,Senior,42,"Touluse, Francia",Teletrabajo,"$25,000",S,9705234,No
JOSE,SANDERS,JOSE SANDERS,M,Arquitecto de Software,Senior,41,"Basilea, Suiza",Hibrido,"$34,000",S,8809741,No
PARKER,PATEL,PARKER PATEL,M,Arquitecto de Software,Senior,36,"Madrid, España",Presencial,"$35,000",S,9354624,No
ADAM,MYERS,ADAM MYERS,M,Arquitecto de Software,Senior,41,"Basilea, Suiza",Presencial,"$27,000",O,8775773,Si
JACE,LONG,JACE LONG,M,Arquitecto de Software,Senior,52,"Basilea, Suiza",Presencial,"$23,000",O,8953845,No
WESLEY,ROSS,WESLEY ROSS,M,Arquitecto de Software,Senior,35,"Ginebra, Suiza",Presencial,"$47,000",S,9023663,Si
KAYDEN,FOSTER,KAYDEN FOSTER,M,Arquitecto de Software,Senior,44,"Zurich, Suiza",Teletrabajo,"$32,000",S,8737362,No
SILAS,JIMENEZ,SILAS JIMENEZ,M,Arquitecto de Software,Senior,36,"Madrid, España",Hibrido,"$33,000",O,9295509,No
BENNETT,SMITH,BENNETT SMITH,M,Arquitecto de Software,Senior,37,"Ginebra, Suiza",Teletrabajo,"$39,000",O,9707382,No
DECLAN,JOHNSON,DECLAN JOHNSON,M,Arquitecto de Software,Senior,41,"Lyon, Francia",Presencial,"$24,000",C,8737521,Si
WAYLON,WILLIAMS,WAYLON WILLIAMS,M,Arquitecto de Software,Senior,52,"Basilea, Suiza",Presencial,"$28,000",S,8920111,No
WESTON,BROWN,WESTON BROWN,M,Arquitecto de Software,Senior,35,"Basilea, Suiza",Presencial,"$42,000",O,9476581,No
EVAN,JONES,EVAN JONES,M,Arquitecto de Software,Senior,48,"Touluse, Francia",Hibrido,"$53,000",C,8962056,No
EMMETT,GARCIA,EMMETT GARCIA,M,Arquitecto de Software,Senior,37,"Madrid, España",Teletrabajo,"$49,000",O,9691803,No
MICAH,MILLER,MICAH MILLER,M,Arquitecto de Software,Senior,50,"Zurich, Suiza",Teletrabajo,"$46,000",S,8849090,No
RYDER,DAVIS,RYDER DAVIS,M,Arquitecto de Software,Senior,45,"Basilea, Suiza",Presencial,"$24,000",S,9146316,No
BEAU,RODRIGUEZ,BEAU RODRIGUEZ,M,Arquitecto de Software,Senior,46,"Touluse, Francia",Hibrido,"$23,000",S,9745132,Si
DAMIAN,MARTINEZ,DAMIAN MARTINEZ,M,Arquitecto de Software,Senior,52,"Lyon, Francia",Presencial,"$24,000",C,8730241,No
BRAYDEN,HERNANDEZ,BRAYDEN HERNANDEZ,M,Arquitecto de Software,Senior,35,"Lyon, Francia",Teletrabajo,"$47,000",O,9152392,No
GAEL,LOPEZ,GAEL LOPEZ,M,Arquitecto de Software,Senior,39,"Madrid, España",Presencial,"$24,000",C,9323583,No
ROWAN,GONZALES,ROWAN GONZALES,M,Arquitecto de Software,Senior,42,"Ginebra, Suiza",Hibrido,"$60,000",O,9157817,Si
HARRISON,WILSON,HARRISON WILSON,M,Arquitecto de Software,Senior,41,"Lyon, Francia",Teletrabajo,"$37,000",C,8891164,No
BRYSON,ANDERSON,BRYSON ANDERSON,M,Arquitecto de Software,Senior,35,"Zurich, Suiza",Teletrabajo,"$39,000",S,9756108,Si
SAWYER,THOMAS,SAWYER THOMAS,M,Arquitecto de Software,Senior,43,"Touluse, Francia",Presencial,"$55,000",O,9018530,No
AMIR,TAYLOR,AMIR TAYLOR,M,Arquitecto de Software,Senior,50,"Madrid, España",Presencial,"$43,000",O,9081376,Si
KINGSTON,MOORE,KINGSTON MOORE,M,Arquitecto de Software,Senior,37,"Lyon, Francia",Presencial,"$48,000",C,8789533,No
JASON,JACKSON,JASON JACKSON,M,Arquitecto de Software,Senior,36,"Touluse, Francia",Presencial,"$22,000",O,8978290,Si
GIOVANNI,MARTIN,GIOVANNI MARTIN,M,Arquitecto de Software,Senior,44,"Basilea, Suiza",Presencial,"$37,000",O,9862648,Si
VINCENT,LEE,VINCENT LEE,M,Arquitecto de Software,Senior,42,"Lyon, Francia",Presencial,"$58,000",O,9106470,No
AYDEN,PEREZ,AYDEN PEREZ,M,Arquitecto de Software,Senior,54,"Basilea, Suiza",Hibrido,"$55,000",C,9111965,Si
CHASE,THOMPSON,CHASE THOMPSON,M,Arquitecto de Software,Senior,45,"Zurich, Suiza",Teletrabajo,"$51,000",C,9001657,Si
MYLES,WHITE,MYLES WHITE,M,Arquitecto de Software,Senior,52,"Madrid, España",Hibrido,"$54,000",C,9683388,Si
DIEGO,HARRIS,DIEGO HARRIS,M,Arquitecto de Software,Senior,52,"Lyon, Francia",Teletrabajo,"$60,000",S,8901415,Si
NATHANIEL,SANCHEZ,NATHANIEL SANCHEZ,M,Arquitecto de Software,Senior,40,"Basilea, Suiza",Presencial,"$37,000",O,9047149,Si
LEGEND,CLARK,LEGEND CLARK,M,Arquitecto de Software,Senior,55,"Zurich, Suiza",Teletrabajo,"$44,000",C,9136810,No
JONAH,RAMIREZ,JONAH RAMIREZ,M,Arquitecto de Software,Senior,40,"Zurich, Suiza",Hibrido,"$46,000",C,9557371,No
RIVER,LEWIS,RIVER LEWIS,M,Arquitecto de Software,Senior,51,"Touluse, Francia",Hibrido,"$44,000",O,9467968,Si
TYLER,ROBINSON,TYLER ROBINSON,M,Arquitecto de Software,Senior,46,"Basilea, Suiza",Presencial,"$56,000",S,9742439,No
COLE,WALKER,COLE WALKER,M,Arquitecto de Software,Senior,36,"Touluse, Francia",Presencial,"$30,000",S,8727933,No
BRAXTON,YOUNG,BRAXTON YOUNG,M,Arquitecto de Software,Senior,52,"Lyon, Francia",Teletrabajo,"$33,000",C,9586659,No
GEORGE,ALLEN,GEORGE ALLEN,M,Arquitecto de Software,Senior,37,"Ginebra, Suiza",Hibrido,"$47,000",S,9237839,No
MILO,KING,MILO KING,M,Arquitecto de Software,Senior,41,"Touluse, Francia",Teletrabajo,"$33,000",O,9017991,Si
ZACHARY,WRIGHT,ZACHARY WRIGHT,M,Arquitecto de Software,Senior,54,"Lyon, Francia",Hibrido,"$27,000",C,9308759,Si
ASHTON,SCOTT,ASHTON SCOTT,M,Arquitecto de Software,Senior,51,"Lyon, Francia",Hibrido,"$39,000",C,9181480,No
LUIS,TORRES,LUIS TORRES,M,Arquitecto de Software,Senior,36,"Zurich, Suiza",Hibrido,"$50,000",S,9284990,Si
JASPER,NGUYEN,JASPER NGUYEN,M,Arquitecto de Software,Senior,35,"Touluse, Francia",Hibrido,"$27,000",C,9299829,Si
KAIDEN,HILL,KAIDEN HILL,M,Arquitecto de Software,Senior,36,"Ginebra, Suiza",Hibrido,"$31,000",C,9575277,No
ADRIEL,FLORES,ADRIEL FLORES,M,Arquitecto de Software,Senior,46,"Ginebra, Suiza",Presencial,"$41,000",S,9404777,Si
GAVIN,GREEN,GAVIN GREEN,M,Arquitecto de Software,Senior,44,"Lyon, Francia",Teletrabajo,"$34,000",O,8725776,No
BENTLEY,ADAMS,BENTLEY ADAMS,M,Arquitecto de Software,Senior,49,"Ginebra, Suiza",Presencial,"$57,000",S,9520825,Si
CALVIN,NELSON,CALVIN NELSON,M,Arquitecto de Software,Senior,53,"Lyon, Francia",Hibrido,"$23,000",S,9273360,No
ZION,BAKER,ZION BAKER,M,Arquitecto de Software,Senior,36,"Lyon, Francia",Teletrabajo,"$60,000",O,8694583,Si
JUAN,HALL,JUAN HALL,M,Arquitecto de Software,Senior,39,"Lyon, Francia",Teletrabajo,"$38,000",O,9593791,Si
MAXWELL,RIVERA,MAXWELL RIVERA,M,Arquitecto de Software,Senior,41,"Ginebra, Suiza",Teletrabajo,"$58,000",S,9803146,Si
MAX,CAMPBELL,MAX CAMPBELL,M,Arquitecto de Software,Senior,47,"Basilea, Suiza",Teletrabajo,"$21,000",O,9395733,Si
RYKER,MITCHELL,RYKER MITCHELL,M,Arquitecto de Software,Senior,48,"Madrid, España",Teletrabajo,"$57,000",O,9053290,Si
CARLOS,CARTER,CARLOS CARTER,M,Arquitecto de Software,Senior,48,"Madrid, España",Hibrido,"$32,000",C,9764590,No
EMMANUEL,ROBERTS,EMMANUEL ROBERTS,M,Especialista de Software,Senior,41,"Touluse, Francia",Presencial,"$32,000",S,9252744,Si
JAYCE,GOMEZ,JAYCE GOMEZ,M,Especialista de Software,Senior,50,"Basilea, Suiza",Presencial,"$53,000",O,8894687,Si
LORENZO,PHILLIPS,LORENZO PHILLIPS,M,Especialista de Software,Senior,36,"Zurich, Suiza",Presencial,"$48,000",O,8774107,No
IVAN,EVANS,IVAN EVANS,M,Especialista de Software,Senior,42,"Lyon, Francia",Presencial,"$48,000",S,8954221,Si
JUDE,TURNER,JUDE TURNER,M,Especialista de Software,Senior,51,"Lyon, Francia",Teletrabajo,"$56,000",C,8857987,No
AUGUST,DIAZ,AUGUST DIAZ,M,Especialista de Software,Senior,48,"Madrid, España",Hibrido,"$35,000",S,9060289,No
KEVIN,PARKER,KEVIN PARKER,M,Especialista de Software,Senior,46,"Ginebra, Suiza",Teletrabajo,"$25,000",O,9523446,No
MALACHI,CRUZ,MALACHI CRUZ,M,Especialista de Software,Senior,36,"Basilea, Suiza",Presencial,"$40,000",S,8846746,Si
ELLIOTT,EDWARDS,ELLIOTT EDWARDS,M,Especialista de Software,Senior,53,"Madrid, España",Presencial,"$55,000",O,9026871,Si
RHETT,COLLINS,RHETT COLLINS,M,Especialista de Software,Senior,51,"Basilea, Suiza",Presencial,"$48,000",O,9839287,No
ARCHER,REYES,ARCHER REYES,M,Especialista de Software,Senior,49,"Madrid, España",Hibrido,"$53,000",S,9664700,No
KARTER,STEWART,KARTER STEWART,M,Especialista de Software,Senior,44,"Ginebra, Suiza",Teletrabajo,"$54,000",C,8919115,No
ARTHUR,MORRIS,ARTHUR MORRIS,M,Especialista de Software,Senior,52,"Zurich, Suiza",Teletrabajo,"$59,000",S,9513429,No
LUKA,MORALES,LUKA MORALES,M,Especialista de Software,Senior,53,"Basilea, Suiza",Presencial,"$39,000",C,9109704,No
ELLIOT,MURPHY,ELLIOT MURPHY,M,Especialista de Software,Senior,48,"Ginebra, Suiza",Hibrido,"$39,000",O,8727607,Si
THIAGO,COOK,THIAGO COOK,M,Especialista de Software,Senior,41,"Touluse, Francia",Presencial,"$22,000",C,9135159,Si
BRANDON,ROGERS,BRANDON ROGERS,M,Especialista de Software,Senior,40,"Madrid, España",Teletrabajo,"$48,000",S,9122556,No
CAMDEN,GUTIERREZ,CAMDEN GUTIERREZ,M,Especialista de Software,Senior,51,"Ginebra, Suiza",Presencial,"$49,000",O,9457723,No
JUSTIN,ORTIZ,JUSTIN ORTIZ,M,Especialista de Software,Senior,53,"Madrid, España",Hibrido,"$41,000",C,9041188,Si
JESUS,MORGAN,JESUS MORGAN,M,Especialista de Software,Senior,50,"Madrid, España",Teletrabajo,"$34,000",S,9212056,Si
MADDOX,COOPER,MADDOX COOPER,M,Especialista de Software,Senior,38,"Touluse, Francia",Teletrabajo,"$38,000",S,9589835,No
KING,PETERSON,KING PETERSON,M,Especialista de Software,Senior,45,"Zurich, Suiza",Presencial,"$27,000",C,9269178,Si
THEO,BAILEY,THEO BAILEY,M,Especialista de Software,Senior,46,"Basilea, Suiza",Presencial,"$35,000",C,9679657,No
ENZO,REED,ENZO REED,M,Especialista de Software,Senior,48,"Zurich, Suiza",Presencial,"$55,000",O,9592827,No
MATTEO,KELLY,MATTEO KELLY,M,Especialista de Software,Senior,41,"Ginebra, Suiza",Presencial,"$44,000",S,9630285,Si
EMILIANO,HOWARD,EMILIANO HOWARD,M,Especialista de Software,Senior,45,"Touluse, Francia",Presencial,"$42,000",S,9462113,No
DEAN,RAMOS,DEAN RAMOS,M,Especialista de Software,Senior,55,"Madrid, España",Presencial,"$54,000",O,9043599,No
HAYDEN,KIM,HAYDEN KIM,M,Especialista de Software,Senior,50,"Zurich, Suiza",Hibrido,"$48,000",C,9136517,No
FINN,COX,FINN COX,M,Especialista de Software,Senior,45,"Ginebra, Suiza",Teletrabajo,"$23,000",S,9204787,Si
BRODY,WARD,BRODY WARD,M,Especialista de Software,Senior,47,"Ginebra, Suiza",Hibrido,"$34,000",S,9533286,No
ANTONIO,RICHARDSON,ANTONIO RICHARDSON,M,Especialista de Software,Senior,48,"Ginebra, Suiza",Teletrabajo,"$45,000",C,9614514,No
ABEL,WATSON,ABEL WATSON,M,Especialista de Software,Senior,38,"Touluse, Francia",Presencial,"$51,000",S,9309695,Si
ALEX,BROOKS,ALEX BROOKS,M,Especialista de Software,Senior,39,"Basilea, Suiza",Teletrabajo,"$24,000",S,8678194,No
TRISTAN,CHAVEZ,TRISTAN CHAVEZ,M,Especialista de Software,Senior,37,"Madrid, España",Hibrido,"$52,000",C,9091274,Si
GRAHAM,WOOD,GRAHAM WOOD,M,Especialista de Software,Senior,37,"Ginebra, Suiza",Hibrido,"$30,000",O,9067984,No
ZAYDEN,JAMES,ZAYDEN JAMES,M,Especialista de Software,Senior,54,"Lyon, Francia",Presencial,"$34,000",O,9378001,Si
JUDAH,BENNET,JUDAH BENNET,M,Especialista de Software,Senior,41,"Touluse, Francia",Presencial,"$55,000",O,9443797,No
XANDER,GRAY,XANDER GRAY,M,Especialista de Software,Senior,41,"Lyon, Francia",Teletrabajo,"$42,000",O,9702174,Si
MIGUEL,MENDOZA,MIGUEL MENDOZA,M,Especialista de Software,Senior,50,"Touluse, Francia",Hibrido,"$35,000",C,8987713,No
ATLAS,RUIZ,ATLAS RUIZ,M,Especialista de Software,Senior,51,"Ginebra, Suiza",Teletrabajo,"$37,000",C,9728797,No
MESSIAH,HUGHES,MESSIAH HUGHES,M,Especialista de Software,Senior,53,"Madrid, España",Hibrido,"$41,000",O,9048250,No
BARRETT,PRICE,BARRETT PRICE,M,Especialista de Software,Senior,49,"Basilea, Suiza",Hibrido,"$47,000",O,9394555,No
TUCKER,ALVAREZ,TUCKER ALVAREZ,M,Especialista de Software,Senior,46,"Lyon, Francia",Hibrido,"$53,000",O,9303057,Si
TIMOTHY,CASTILLO,TIMOTHY CASTILLO,M,Especialista de Software,Senior,44,"Touluse, Francia",Hibrido,"$59,000",S,9467140,No
ALAN,SANDERS,ALAN SANDERS,M,Especialista de Software,Senior,50,"Lyon, Francia",Hibrido,"$40,000",C,9714613,No
